pwsId,year,analyteCode,pwsName,countyServed,cityServed,waterSource,mean,max,populationServed,fips,
"1110019","2013","Nitrate","Pine River","Cass","Pine River","Groundwater","2.04 mg/L","3.6 mg/L","944","27021"
"1110011","2013","Nitrate","Remer","Cass","Remer","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","369","27021"
"1110013","2013","Nitrate","Walker","Cass","Walker","Groundwater","0.21 mg/L","0.39 mg/L","941","27021"
"1110033","2013","Nitrate","Timberlane Estates","Cass","Walker","Groundwater","2.4 mg/L","2.4 mg/L","64","27021"
"1120001","2013","Nitrate","Clara City","Chippewa","Clara City","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","1360","27023"
"1120002","2013","Nitrate","Maynard","Chippewa","Maynard","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","388","27023"
"1120003","2013","Nitrate","Milan","Chippewa","Milan","Groundwater","3.1 mg/L","3.1 mg/L","369","27023"
"1120004","2013","Nitrate","Montevideo","Chippewa","Montevideo","Groundwater","0.39 mg/L","0.39 mg/L","5343","27023"
"1120006","2013","Nitrate","Watson","Chippewa","Watson","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","205","27023"
"1130001","2013","Nitrate","Center City","Chisago","Center City","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","629","27025"
"1130002","2013","Nitrate","Hazelden Foundation","Chisago","Center City","Groundwater","0.03 mg/L","0.06 mg/L","452","27025"
"1130003","2013","Nitrate","Chisago City","Chisago","Chisago City","Groundwater","0.17 mg/L","0.46 mg/L","3896","27025"
"1130023","2013","Nitrate","Preserve at Birch Lake","Chisago","Chisago City","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","220","27025"
"1130005","2013","Nitrate","Harris","Chisago","Harris","Groundwater","0.22 mg/L","0.22 mg/L","378","27025"
"1130006","2013","Nitrate","Peaceful Valley Mobile Home Park","Chisago","Harris","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","50","27025"
"1130007","2013","Nitrate","Lindstrom","Chisago","Lindstrom","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","4431","27025"
"1130008","2013","Nitrate","Stonegate Co-op, Inc.","Chisago","Lindstrom","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","128","27025"
"1130009","2013","Nitrate","Elms Estates, Inc.","Chisago","Lindstrom","Groundwater","0.18 mg/L","0.18 mg/L","53","27025"
"1130010","2013","Nitrate","Blue Waters Mobile Home Park","Chisago","Lindstrom","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","150","27025"
"1130011","2013","Nitrate","North Branch","Chisago","North Branch","Groundwater","0.05 mg/L","0.08 mg/L","6819","27025"
